,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
1947,You Are the Placebo Meditation 2: Changing One Belief and Perception,Dr. Joe Dispenza,4.4,132,352,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",2,30,['Plays']
1948,"Finish What You Start: The Art of Following Through, Taking Action, Executing, & Self-Discipline",Peter Hollins,4.4,303,233,"Finish What You Start: The Art of Following Through, Taking Action, Executing, & Self-Discipline - No description available.",1,50,['Art']
1949,How to Be a High School Superstar: A Revolutionary Plan to Get into College by Standing Out (Without Burning Out),Cal Newport,4.3,102,586,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1950,Disciplined Entrepreneurship,Bill Aulet,4.6,320,703,Disciplined Entrepreneurship - No description available.,5,20,['Entrepreneurship']
1951,Musashi,Eiji Yoshikawa,4.8,670,1758,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
1952,Karma Sutra: Cracking the Karmic Code,Hingori,4.2,76,501,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
1954,Conversations with Friends,Sally Rooney,4.3,2491,713,"Frances is a 21-year-old college student in Dublin; she performs at spoken word events with her best friend and ex-lover, Bobbi. When they are profiled by journalist Melissa, they enter an orbit of beautiful houses and raucous dinner parties. Initially unimpressed, Frances begins an affair with Nick, Melissa's husband, which gives way to an unexpected intimacy. Desperate to reconcile her desires and vulnerabilities of her body, Frances's intellectual certainties begin to yield to something new: a disorienting way of living from moment to moment.",8,33,"['Literary Fiction', 'Contemporary Fiction']"
1955,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,4.6,507,683,Random House presents the audiobook edition of The Making of a Manager by Julie Zhuo.,7,32,"['Business Motivation & Self-Improvement', 'Leadership', 'Analysis & Strategy']"
1957,"The 91-Storey Treehouse: The Treehouse, Book 7",Andy Griffiths,4.8,263,323,"The 91-Storey Treehouse: The Treehouse, Book 7 - No description available.",2,30,"['Music Books', 'Economics Books', 'Biology Books']"
1958,Digital Transformation: Survive and Thrive in an Era of Mass Extinction,Thomas M. Siebel,4.6,174,1003,Digital Transformation: Survive and Thrive in an Era of Mass Extinction - No description available.,10,10,"['Outdoor Survival Skills', 'Survival Stories for Children', 'Survival Stories for Teens']"
1959,Andhere Mein Ek Chehra [A Face in the Dark],Ruskin Bond,4.489294063,,668,Andhere Mein Ek Chehra [A Face in the Dark] - No description available.,5,20,"['Dark Humour Literature & Fiction', 'Dark Fantasy']"
1960,Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier,4.9,360,820,Irreversible Damage: The Transgender Craze Seducing Our Daughters - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1961,"The Law of Success: Using the Power of Spirit to Create Health, Prosperity, and Happiness",Paramahansa Yogananda,4.4,79,234,"The faster the world moves, the more important it becomes to slow down and look within for what makes us truly happy. If you measure success by the quality of your life rather than just by material achievements, then the timeless wisdom of this book will speak directly to your heart and soul. For more than 50 years, this classic inspirational guide has helped hundreds of thousands of people to move through obstacles and invite all-round success fully into their lives.",0,27,"['Personal Success', 'Personal Development & Self-Help']"
1962,"The Feynman Lectures on Physics: Volume 18, Feynman on Flow",Richard P. Feynman,4.489294063,,938,"The Feynman Lectures on Physics: Volume 18, Feynman on Flow - No description available.",5,20,['Physics']
1963,The Story of Atlantis and the Lost Lemuria,W. Scott Elliot,4.489294063,,1055,The Story of Atlantis and the Lost Lemuria - No description available.,10,10,"['""Childrens Traditional Stories""', 'Fiction Short Stories', 'Short Stories']"
1964,"ColdFusion Presents: New Thinking: From Einstein to Artificial Intelligence, the Science and Technology That Transformed Our World",Dagogo Altraide,4.7,134,586,"ColdFusion Presents: New Thinking: From Einstein to Artificial Intelligence, the Science and Technology That Transformed Our World - No description available.",5,20,"['Art', 'Science']"
1966,Mengele: The Complete Story,Gerald Posner,4.2,207,703,Mengele: The Complete Story - No description available.,5,20,"['""Childrens Traditional Stories""', 'Fiction Short Stories', 'Short Stories']"
1967,Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier,4.9,362,820,Irreversible Damage: The Transgender Craze Seducing Our Daughters - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1974,How Al-Anon Works for Families and Friends of Alcoholics,Al-Anon Family Groups,4.7,191,836,How Al-Anon Works for Families and Friends of Alcoholics - No description available.,5,20,"['""Childrens Family""', 'Social Work', 'Fiction on Family for Teens']"
1976,Small Is Beautiful: A Study of Economics as If People Mattered,E. F. Schumacher,4.6,170,752,Random House presents the audiobook edition of Small Is Beautiful by E. F. Schumacher.,10,16,"['Free Enterprise', 'Macroeconomics', 'Theory & Philosophy']"
1979,Living a Feminist Life,Sara Ahmed,4.7,71,938,Living a Feminist Life - No description available.,5,20,"['Family Life Fiction', 'Family Life Fiction for Children', 'City Life Fiction']"
1980,The Bromance Book Club,Lyssa Kay Adams,4.4,456,1005,The first rule of book club: You don't talk about book club.,9,9,"['Sports Romance', 'Romantic Comedy', ""Women's Fiction""]"
1981,Prepared: What Kids Need for a Fulfilled Life,Diane Tavenner,4.4,168,879,Prepared: What Kids Need for a Fulfilled Life - No description available.,5,20,"['Parenting Special Needs Children', 'Family Life Fiction', 'Family Life Fiction for Children']"
1982,What I Learned Losing a Million Dollars,Jim Paul,4.4,280,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1984,Creative Visualization Meditations,Shakti Gawain,4.7,508,300,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",1,0,"['Meditation', 'Psychology', 'Personal Success']"
1985,"The Feynman Lectures on Physics: Volume 16, Feynman on Electromagnetism",Richard P. Feynman,4.489294063,,938,"The Feynman Lectures on Physics: Volume 16, Feynman on Electromagnetism - No description available.",5,20,['Physics']
1986,"Return of a King: The Battle for Afghanistan, 1839-42",William Dalrymple,4.6,544,1003,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
1987,"Why We Buy, Updated and Revised Edition: The Science of Shopping",Paco Underhill,4.3,260,773,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
1988,Healing Through Past-Life Regression...and Beyond,Mira Kelley,4.3,45,468,"In this remarkable audio program, Mira Kelley will guide you through a past-life regression that allows you to experience other lives you have lived, receive emotional and physical healing, discover your life’s purpose, understand your relationships, and receive guidance from your Higher Self. Along the way, Mira demonstrates the extraordinary skills she has shared with the likes of Dr. Wayne W. Dyer and Brian Weiss, M.D. (both of whom have featured her work in their own recent books). Mira also includes meditations, which will aid you in discovering how to restore the health and vitality of your body, awakening your beautiful essence, embracing the unconditional love that Source has for you, and recognizing that you truly deserve to express yourself to the fullest. The result is a powerful experience that will help you manifest your best life yet!",1,41,"['Earth Sciences Books', 'Family & Relationships', 'Personal Development & Self-Help']"
1990,Sorry Not Sorry,Sophie Ranald,4.3,1847,645,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
1991,The Holy Spirit: Activating God's Power in Your Life,Billy Graham,4.8,468,844,"Leading evangelist Billy Graham has written an inspiring and thought-provoking work based on his personal quest to understand the most mysterious and difficult aspect of the Trinity. After a discussion with a noted Swiss theologian, Dr. Graham began a study of the Bible to see what is said about the Holy Spirit. As he progressed through his examination, he became concerned by the “misunderstanding and even ignorance in some Christian circles concerning the Third Person of the Trinity.”",10,42,"['Theology & Philosophy of Religion', 'Christianity', 'Textbooks & Study Guides']"
1992,The Incredible Banker,Ravi Subramanian,4.1,85,668,"A new expat CEO, a bank riddled with losses in its retail banking business, mind-numbing politicking amongst the honchos, aggressive loan sales guys battling the listless credit folks - Greater Boston Global Bank(GB2) seems to be like any other foreign bank. Till it all changes one day when Ronald McCain, CEO of GB2, is hurriedly pulled out of his morning team huddle and summoned by the RBI Governor. What ensues thereon is something Ronald is least prepared for. How could something as catastrophic transpire in an organization considered to be the Mecca of banking? Ronald has no answers. And when the CBI lands up at Deepak Sarup's doors trailing the scent of the same scandal, Ronald decides to distance the bank, leaving Deepak, a senior executive, to fight his own battles. Will Karan, Deepak's onetime adversary and now a journo, bail him out? Will Savitha, his girlfriend, stand by him? And will his family; the CBI and, more importantly, the country believe what he says? With the media and CBI in hot pursuit, Ronald can't help but wonder what his fate has in store for him.",5,20,['Mind']
1993,The Incredible Banker,Ravi Subramanian,4.1,85,668,"A new expat CEO, a bank riddled with losses in its retail banking business, mind-numbing politicking amongst the honchos, aggressive loan sales guys battling the listless credit folks - Greater Boston Global Bank(GB2) seems to be like any other foreign bank. Till it all changes one day when Ronald McCain, CEO of GB2, is hurriedly pulled out of his morning team huddle and summoned by the RBI Governor. What ensues thereon is something Ronald is least prepared for. How could something as catastrophic transpire in an organization considered to be the Mecca of banking? Ronald has no answers. And when the CBI lands up at Deepak Sarup's doors trailing the scent of the same scandal, Ronald decides to distance the bank, leaving Deepak, a senior executive, to fight his own battles. Will Karan, Deepak's onetime adversary and now a journo, bail him out? Will Savitha, his girlfriend, stand by him? And will his family; the CBI and, more importantly, the country believe what he says? With the media and CBI in hot pursuit, Ronald can't help but wonder what his fate has in store for him.",8,33,"['Banks & Banking', 'Exercise & Fitness', 'Suspense']"
1996,Wayne Dyer's Ultimate Library,Wayne Dyer,4.489294063,,2008,Wayne Dyer's Ultimate Library - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1997,The Picture of Dorian Gray,Oscar Wilde,4.4,3564,569,Exclusively from Audible,8,35,"['LGBT Thrillers & Suspense', 'Psychological Thrillers', 'Classic Literature']"
1998,The Porn Myth: Exposing the Reality Behind the Fantasy of Pornography,Matt Fradd,4.8,102,703,"The Porn Myth is a non-religious response to the commonly held belief that pornography is a harmless or even beneficial pastime. Author Matt Fradd draws on the experience of porn performers and users, and the expertise of neurologists, sociologists, and psychologists to demonstrate that pornography is destructive to individuals, relationships, and society. He provides insightful arguments, supported by the latest scientific research, to discredit the fanciful claims used to defend and promote pornography.",5,45,"['Sexual Addiction', 'Pornography Studies', 'Sexual Abuse & Harassment']"
1999,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,1221,501,"One afternoon - after another failed attempt to get motivated to exercise - I (accidentally) started my first mini habit. I initially committed to do one push-up, and it turned into a full workout. I was shocked. This ""stupid idea"" wasn't supposed to work. I was shocked again when my success with this strategy continued for months (and to this day). I had to consider that maybe I wasn't the problem in those 10 years of mediocre results. Maybe it was my prior strategies that were ineffective, despite being oft-repeated as ""the way to change"" in countless books and blogs.",5,20,"['Art', 'ESP']"
2007,In Shock,Dr Rana Awdish,4.7,400,683,"Random House presents the audiobook edition of In Shock by Dr Rana Awdish, read by the author and Teri Schnaubelt.",9,1,"['Medical Ethics', 'Nursing', 'Physician & Patient']"
2008,"When I Stop Talking, You'll Know I'm Dead: Useful Stories from a Persuasive Man",Jerry Weintraub,4.6,361,500,"When I Stop Talking, You'll Know I'm Dead: Useful Stories from a Persuasive Man - No description available.",2,30,"['""Childrens Traditional Stories""', 'Fiction Short Stories', 'Short Stories']"
2009,Rich Dad Advisors: Stock Market Cash Flow,Andy Tanner,4.5,213,500,"The audiobook addresses many of the challenges facing stock market investors and the ways many investors use the stock market to achieve their financial and investing goals. The audiobook teaches the principles of the author's ""four pillars of stock market income"" and effectively simplifies these concepts to help investors harness their power and potential.",7,31,"['Retirement Planning', 'Stocks', 'Analysis & Strategy']"
2010,Rich Dad Advisors: Stock Market Cash Flow,Andy Tanner,4.5,213,500,"The audiobook addresses many of the challenges facing stock market investors and the ways many investors use the stock market to achieve their financial and investing goals. The audiobook teaches the principles of the author's ""four pillars of stock market income"" and effectively simplifies these concepts to help investors harness their power and potential.",2,30,"['Marketing', 'Stocks']"
2011,Warbreaker,Brandon Sanderson,4.6,1423,987,"After bursting onto the fantasy scene with his acclaimed debut novel, Elantris, and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called 'secondary creation', the invention of whole worlds, complete with magics and myths all their own.",24,56,"['Action & Adventure Fantasy', 'Epic Fantasy', 'Fantasy']"
2012,Infinity Blade: Awakening,Brandon Sanderson,4.3,356,586,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2013,All the Bright Places: Movie Tie-In Edition,Jennifer Niven,4.7,2799,1256,This New York Times best-selling love story about two teens who find each other while standing on the edge is soon to be a Netflix film starring Elle Fanning and Justice Smith!,11,4,"['Fiction on Depression for Teens', 'Fiction on Suicide for Teens', 'Fiction on Mental Illness for Teens']"
2015,The Fry Chronicles: An Autobiography,Stephen Fry,4.4,405,1093,"Thirteen years ago, Moab Is My Washpot, Stephen Fry’s autobiography of his early years, was published to rave reviews and was a huge best seller. In the years since, Stephen Fry has moved into a completely new stratosphere, both as a public figure, and a private man. Now he is not just a multi-award-winning comedian and actor, but also an author, director, and presenter.",12,29,"['LGBT Biographies', 'Biographies of Celebrities & Entertainment Professionals', 'Cinema & Broadcast']"
2016,It Happens for a Reason,Preeti Shenoy,4.3,553,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2017,The Dead Sea Scrolls,Gary A. Rendsburg,4.489294063,,1171,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
2018,The Feast of Roses,Indu Sundaresan,4.5,147,937,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
2019,Deep Undercover: My Secret Life and Tangled Allegiances as a KGB Spy in America,Jack Barsky,4.6,315,820,One decision can end everything...or lead to unlikely redemption.,10,52,"['United States History', 'Political Freedom & Security', 'Christianity']"
2020,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,4.6,156,668,"Effective software teams are essential for any organization to deliver value continuously and sustainably. But how do you build the best team organization for your specific goals, culture, and needs?",6,31,"['Workplace Culture', 'Leadership', 'Business Management']"
2021,You Can't Teach a Kid to Ride a Bike at a Seminar: Sandler Training's 7-Step System for Successful Selling (2nd Edition),David Mattson - foreword,4.7,119,656,You Can't Teach a Kid to Ride a Bike at a Seminar: Sandler Training's 7-Step System for Successful Selling (2nd Edition) - No description available.,5,20,"['Judicial Systems', 'Sports Training & Coaching', 'Personal Success']"
2022,The Runaway Species: How Human Creativity Remakes the World,David Eagleman,4.3,111,797,The Runaway Species: How Human Creativity Remakes the World - No description available.,5,20,['Creativity']
2023,The Origin and Evolution of Earth: From the Big Bang to the Future of Human Existence,Robert M. Hazen,4.489294063,,1774,The Origin and Evolution of Earth: From the Big Bang to the Future of Human Existence - No description available.,10,10,"['Art', 'Evolution']"
2024,"The End of Mental Illness: How Neuroscience Is Transforming Psychiatry and Helping Prevent or Reverse Mood and Anxiety Disorders, ADHD, Addictions, PTSD, Psychosis, Personality Disorders, and More",Daniel G. Amen,4.7,505,1055,"New hope for those suffering from conditions like depression, anxiety, bipolar disorder, addictions, PTSD, ADHD, and more.",13,37,"['Emotions', 'Biological Sciences', 'Mental Health']"
2025,The Marshmallow Test: Mastering Self-Control,Walter Mischel,4.4,356,603,"Renowned psychologist Walter Mischel, designer of the famous Marshmallow Test, explains what self-control is and how to master it.",7,54,"['Child Psychology', 'Science', 'Earth Sciences Books']"
2026,The End of Everything: (Astrophysically Speaking),Katie Mack,4.7,118,888,Brought to you by Penguin.,6,21,"['Cosmology', 'Astronomy', 'Physics']"
2027,Devlok 2,Devdutt Pattanaik,4.3,96,879,Devlok 2 - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
2028,Zen and the Art of Happiness,Chris Prentiss,4.5,649,233,"Zen and the Art of Happiness is a popular book by Chris Prentiss that has been translated and published in more than 20 countries around the world. According to Chris Prentiss, by training oneself to think and feel in a certain manner, changes can happen in the body, which can go a long way in improving the overall well-being of the person. In this audiobook, he gives valuable insights on how to create a vibrant life for oneself. You will learn:",2,17,"['Mental Health', 'Spirituality', 'Psychology']"
2029,The Acid House,Irvine Welsh,4.3,60,615,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
2033,Into Thin Air,Jon Krakauer,4.7,2955,569,Into Thin Air - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
2040,Gilgamesh: A Novel,Joan London,4.2,51,1171,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",9,1,"['Historical Fiction', 'Literary Fiction', 'Historical Fiction']"
2042,Alpha Male Strategies,AMS Alpha Male Strategies,4.8,224,501,Alpha Male Strategies - No description available.,5,20,"['Analysis & Strategy', 'Military Strategy', 'Investing Analysis & Strategy']"
2043,Nothing Lasts Forever,Sidney Sheldon,4.4,393,1171,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",10,10,['Plays']
2044,Maximize Your Potential Through the Power of Your Subconscious Mind to Overcome Fear and Worry,Dr. Joseph Murphy,4.5,54,938,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
2045,Has China Won?: The Chinese Challenge to American Primacy,Kishore Mahbubani,4.6,110,500,Has China Won?: The Chinese Challenge to American Primacy - No description available.,2,30,"['Native American History', 'African American History', 'Chinese History']"
2046,Narrative Economics: How Stories Go Viral and Drive Major Economic Events,Robert J. Shiller,4.4,162,585,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
2047,Fangirl,Rainbow Rowell,4.4,2635,323,"Cath and Wren are identical twins, and until recently they did absolutely everything together. Now they're off to university, and Wren's decided she doesn't want to be one half of a pair any more - she wants to dance, meet boys, go to parties and let loose. It's not so easy for Cath. She's horribly shy and has always buried herself in the fan fiction she writes, where she always knows exactly what to say and can write a romance far more intense than anything she's experienced in real life.",12,49,"['Fiction on Loners & Outcasts for Teens', 'Audiobooks on Siblings for Teens', 'Fiction on Family for Teens']"
2050,Leadership on the Line (Revised): Staying Alive Through the Dangers of Change,Ronald A. Heifetz,4.6,88,820,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2051,Leadership on the Line (Revised): Staying Alive Through the Dangers of Change,Ronald A. Heifetz,4.6,88,820,"To lead is to live dangerously. It's romantic and exciting to think of leadership as all inspiration, decisive action, and rich rewards, but leading requires taking risks that can jeopardize your career and your personal life. It requires putting yourself on the line, disrupting the status quo, and surfacing hidden conflict. And when people resist and push back, there's a strong temptation to play it safe. Those who choose to lead plunge in, take the risks, and sometimes get burned. But it doesn't have to be that way, according to renowned leadership experts Ronald Heifetz and Marty Linsky. In Leadership on the Line, they show how it's possible to make a difference without getting ""taken out"" or pushed aside. They present everyday tools that give equal weight to the dangerous work of leading change and the critical importance of personal survival. Through vivid stories from all walks of life, the authors present straightforward strategies for navigating the perilous straits of leadership. Whether you're a parent or a politician, a CEO or a community activist, this practical book shows how you can exercise leadership and survive and thrive to enjoy the fruits of your labor.",9,44,"['Leadership', 'Analysis & Strategy']"
2054,"The Frequency: Fulfill All Your Wishes by Manifesting with Vibrations: Use the Law of Attraction and Amazing Manifestation Strategies to Attract the Life You Want, Book 1",Linda West,4.3,167,233,Learn powerful and easy techniques for manifestation mastery.,2,23,"['Angels & Spirit Guides', 'Metaphysics', 'Christianity']"
2056,"Cracking the Tech Career: Insider Advice on Landing a Job at Google, Microsoft, Apple, or any Top Tech Company",Gayle Laakman McDowell,4,69,668,Become the applicant Google can't turn down.,9,6,"['Business Careers', 'Personal Development & Self-Help']"
2057,The Born to Win Seminar,Zig Ziglar,4.6,417,2008,Discover your untapped greatness and how to win at life...in two days flat!,15,3,"['Personal Success', 'Personal Development & Self-Help']"
2058,Decisive: How to Make Better Choices in Life and Work,Chip Heath,4.6,596,888,Brought to you by Penguin.,9,9,"['Negotiating', 'Business Decision Making & Problem Solving', 'Personal Success']"
2059,A Dog's Purpose: A novel for humans,W. Bruce Cameron,4.7,4559,323,"This is the remarkable story of one endearing dog's search for his purpose over the course of several lives. More than just another charming dog story, A Dog's Purpose touches on the universal quest for an answer to life's most basic question: why are we here?",8,17,"['Animal Fiction', 'Movie', 'Humorous Fiction']"
2060,Let My People Go Surfing: The Education of a Reluctant Businessman - Including 10 More Years of Business Unusual,Yvon Chouinard,4.7,777,879,Let My People Go Surfing: The Education of a Reluctant Businessman - Including 10 More Years of Business Unusual - No description available.,5,20,['Education']
2061,Gould's Book of Fish,Richard Flanagan,3.7,106,1171,Gould's Book of Fish - No description available.,10,10,"['Music Books', 'Economics Books', 'Biology Books']"
2062,"Get Rich with Options: Four Winning Strategies Straight from the Exchange Floor, 2nd Edition",Lee Lowell,4.1,159,668,"Get Rich with Options: Four Winning Strategies Straight from the Exchange Floor, 2nd Edition - No description available.",5,20,"['Analysis & Strategy', 'Military Strategy', 'Investing Analysis & Strategy']"
2063,Ruskin Bond: The Essential Collection for Young Readers,Ruskin Bond,4.6,369,668,Ruskin Bond: The Essential Collection for Young Readers - No description available.,5,20,"['Teen & Young Adult', 'Audiobook Beginner Readers for Children', 'Ancient & Classical Literature Collections']"
2064,Uncommon Type: Some Stories,Tom Hanks,4.2,966,752,Read by two-time Oscar winner Tom Hanks.,10,1,"['Literature Anthologies', 'Fiction Short Stories', 'Literary Fiction']"
2065,Café in Berlin: Learn German with Stories 1 - 10 Short Stories for Beginners,André Klein,4.7,947,132,Café in Berlin: Learn German with Stories 1 - 10 Short Stories for Beginners - No description available.,1,50,['Short Stories']
2066,The Secret Letters of the Monk Who Sold His Ferrari,Robin Sharma,4.6,357,586,The Secret Letters of the Monk Who Sold His Ferrari - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
2067,The Passion Test: The Effortless Path to Discovering Your Destiny,Janet Attwood,4.3,230,585,"Chris and Janet Attwood wrap fascinating stories of the ups, downs, twists, and turns of living passionately around fun and practical exercises that will have you living your own passionate life by the time you finish this audio program.",5,20,"['Healthy Living & Wellness', 'Sustainable & Green Living', 'Programming']"
2068,The Passion Test: The Effortless Path to Discovering Your Destiny,Janet Attwood,4.3,230,585,"Chris and Janet Attwood wrap fascinating stories of the ups, downs, twists, and turns of living passionately around fun and practical exercises that will have you living your own passionate life by the time you finish this audio program.",5,49,"['New Thought Spirituality', 'Personal Success', 'Mind']"
2069,Uprooted,Naomi Novik,4.6,2787,323,A dark enchantment blights the land.,17,20,"['Fantasy Romance', 'Fairy Tale Fantasy', 'Myths']"
2071,Good Omens: The BBC Radio 4 dramatisation,Terry Pratchett,4.7,6251,615,Neil Gaiman was the WINNER of the BBC Audio Drama Award 2015 for Outstanding Contribution to Radio Drama,4,19,['Fantasy']
2072,Hornblower and the Hotspur,C.S. Forester,4.7,242,748,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2073,"The Fifth Season: The Broken Earth, Book 1",N. K. Jemisin,4.4,2368,500,The Fifth Season: Booktrack Edition adds an immersive musical soundtrack to your audiobook listening experience!,15,27,"['Action & Adventure Fantasy', 'Epic Fantasy', 'Fantasy']"
2074,Apni Team ke Leaders ko Viksit Kaise Karen [How to Develop Your Team Leaders],John Maxwell,4.2,56,668,"It's not enough for a leader to have vision, energy, drive and conviction. If you want to see your dream come to fruition, you must learn how to develop the leaders around you. If you want to be a leader, then you will have to develop a team of successful leaders around you. This book tells how you can make your colleagues and subordinates into leaders.",8,57,"['Leadership', 'Analysis & Strategy']"
2075,Transcendent Kingdom,Yaa Gyasi,4.3,39,888,Brought to you by Penguin.,8,41,"['Southern United States Literature', 'African American Literature', 'Family Life Fiction']"
2076,Benjamin Franklin Ki Atmakatha (Hindi Edition),Benjamin Franklin,4.2,162,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2078,Alexander Hamilton,Ron Chernow,4.7,6471,1138,"Alexander Hamilton was an illegitimate, largely self-taught orphan from the Caribbean who overcame all the odds to become George Washington's aide-de-camp and the first Treasury Secretary of the United States. Few figures in American history are more controversial.",35,58,"['Historical Biographies', 'Biographies & Autobiographies', 'Textbooks & Study Guides']"
2080,As a Man Thinketh: 21st Century Edition: The Wisdom of James Allen,Sam Torode,4.7,301,132,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
2081,"The Essentials of Risk Management, Second Edition",Michel Crouhy,4.4,47,820,"Created for risk professionals and non-risk professionals alike, this easy-to-understand guide helps you meet the increasingly insistent demand to make sophisticated assessments of companies' risk exposure. It provides the latest methods for:",21,32,"['Insurance', 'Public Finance', 'Corporate Finance']"
2082,Rich Dad Poor Dad for Teens: The Secrets About Money - That You Don't Learn in School!,Robert T. Kiyosaki,4.4,445,469,Rich Dad Poor Dad for Teens: The Secrets About Money - That You Don't Learn in School! - No description available.,2,30,"['Language Learning', 'Money Management', 'Money & Finance']"
2083,"Jax: Protectors Series # 8,",Teresa Gabelman,4.8,349,586,"Jax Wheeler has been fighting his own demons for as long as he can remember. One of those demons is from his past, a brother who wants nothing more to see Jax suffer. Working closely with the Cincinnati Branch of the VC Warriors Jax never thought he would find someone who could help him ease his pain, but he was wrong.",5,20,"['Social Work', 'Pain Management', 'Consciousness & Thought']"
2084,"Astral Projection: Out-Of-Body Travel, Guided Meditation, Self Hypnosis, Binaural Beats",Erick Brown Hypnosis,4.489294063,,656,"Have you always been curious about how to use Astral Projection but didn’t know how? Do you wish you could have an out-of-body experience into a higher realm? Experience astral travel in safe and informative environment with this hypnosis program from Erick Brown. Let Astral Projection help you release into a higher spiritual realm by guiding through what is commonly called an out-of-body experience. Powerful suggestions for deep relaxation and positive change will be received by your mind, releasing you from worry or tension and helping you to just relax and remain open to your astral journey.",3,20,"['Environment', 'Mind']"
2085,"Chicken Soup for the Kid's Soul: Stories of Courage, Hope, and Laughter",Jack Canfield,4.7,127,280,"Now more than ever, kids want and need the inspiration and hope that Chicken Soup for the Soul provides. In this special volume, young readers will find empowerment and encouragement to love and accept themselves, believe in their dreams, find answers to their questions, and discover hope for a promising future.",1,12,"['Religion For Children', ""Children's Religion"", ""Children's Literature & Fiction""]"
2086,The 48 Laws of Power,Robert Greene,4.489294063,,773,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",9,52,"['Privacy & Surveillance Studies', 'Long-Term & Elder Care', 'Economic Conditions']"
2089,Charlotte's Web,E. B. White,4.8,5004,754,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
